Gene.Symbol,Essentiality_Rep1,Essentiality_Rep2
MBTPS2,-2.616674325,-2.192148483
MCM2,-1.489352704,-1.642952409
MCM3AP,-1.438935533,-1.14212505
MCM4,-1.199276182,-1.120855832
MCM5,-2.360551508,-2.094115931
MCM6,-1.206398898,-0.940836961
MCM7,-0.991440078,-0.833663034
MCMBP,-1.434021285,-0.919599683
MCRS1,-1.428890619,-1.260628608
MDH2,-0.9532724,-0.806449903
MDM2,-1.297551837,-0.959709676
MDM4,-0.919224415,-0.874981947
MED1,-1.365492613,-1.314981514
MED10,-0.793971052,-0.755231587
MED11,-1.883395369,-1.808590418
MED12,-1.351861696,-1.337558108
MED13L,-1.064726105,-0.986512905
MED14,-1.595982724,-1.655131637
MED15,-1.172092076,-1.132807351
MED16,-1.879666817,-1.638043958
MED17,-1.07741186,-0.925808002
MED18,-2.458673131,-2.134859318
MED20,-1.297187964,-0.830641544
MED21,-1.165074558,-0.904631728
MED23,-0.854674371,-0.795218547
MED24,-1.659982554,-1.277262427
MED25,-1.498673812,-1.544889827
MED26,-1.488699555,-1.466309498
MED30,-2.541439464,-1.860336692
MED6,-0.997109271,-0.90951389
MED7,-1.57326293,-1.458141626
MED8,-1.439152077,-1.300348916
MEN1,-1.280271981,-1.042889229
MEPCE,-1.181835516,-1.044480817
METTL16,-2.091454162,-1.840029219
METTL17,-1.857494063,-0.835702641
METTL3,-1.686762185,-1.060811987
MFAP1,-1.209665543,-0.808439319
MFN2,-1.455391512,-1.317076483
MGEA5,-1.153573329,-0.945753034
MIOS,-1.051371725,-0.899589411
MIPEP,-2.180509688,-1.130874172
MIS12,-0.783291196,-0.929222316
MIS18A,-1.627662282,-1.199281737
MIS18BP1,-0.957060376,-0.916982866
MLLT4,-1.235691924,-1.060394325
MMGT1,-1.154640728,-0.790062895
MMS19,-1.261987374,-1.070668377
MNAT1,-1.549793004,-1.473156542
MNT,-0.90399711,-0.801008329
MOCS3,-2.031731359,-1.774868757
MPHOSPH10,-1.507249223,-1.255567907
MRP63,-2.640326476,-1.870492755
MRPL11,-1.783823404,-0.849654164
MRPL12,-1.94187133,-1.343542401
MRPL13,-2.183431221,-1.551984244
MRPL14,-1.235002987,-1.09746306
MRPL15,-2.303525292,-1.838051241
MRPL17,-1.850997973,-1.08741749
MRPL18,-1.227996338,-0.840188416
MRPL2,-1.198817481,-0.957362183
MRPL20,-1.013571836,-0.752860039
MRPL21,-2.165260755,-1.452473042
MRPL22,-1.470798001,-1.182571512
MRPL24,-1.195323495,-0.908764234
MRPL28,-2.092368531,-1.906414169
MRPL3,-1.605646325,-1.245206065
MRPL33,-1.424881249,-1.19537467
MRPL34,-2.400902596,-1.608033439
MRPL35,-1.003793427,-0.807922531
MRPL37,-1.435979886,-1.238639308
MRPL38,-2.781453863,-1.775759278
MRPL39,-1.847135325,-1.459442616
MRPL4,-1.520913712,-1.014169182
MRPL41,-2.070416708,-1.387101528
MRPL42,-1.368215327,-1.077214927
MRPL44,-2.049925236,-1.726476086
MRPL45,-1.988853929,-1.540168221
MRPL47,-1.234550089,-1.033889031
MRPL48,-1.32299549,-0.974336195
MRPL50,-1.536078695,-0.926183551
MRPL51,-2.309429547,-1.682156281
MRPL53,-2.479253098,-1.720698816
MRPL54,-1.357851907,-1.058323913
MRPS11,-2.236881814,-1.996766236
MRPS12,-2.294697924,-1.486302695
MRPS14,-3.123146934,-2.207715952
